"920"	0.0714
"923"	0.1000
"937"	0.1000
"1028"	0.1111
"1037"	0.1111
"1038"	0.1000
"1122"	0.0714
"1135"	0.0833
"1222"	0.0714
"1223"	0.0714
"1230"	0.0909
"1232"	0.0769
"1233"	0.1429
"1324"	0.0714
"1325"	0.0714
"1327"	0.1429
"1330"	0.1429
"1331"	0.0769
"1332"	0.1111
"1333"	0.1111
"1334"	0.0909
"1335"	0.0833
"1427"	0.1429
"1428"	0.1429
"1430"	0.0714
"1432"	0.0714
"1434"	0.0769
"1435"	0.1000
"1436"	0.1000
"1437"	0.1000
"1440"	0.1250
"1441"	0.0909
"1442"	0.1111
"1444"	0.1000
"1526"	0.0714
"1527"	0.0714
"1529"	0.0714
"1531"	0.1538
"1534"	0.0833
"1535"	0.1538
"1536"	0.0833
"1537"	0.0833
"1538"	0.1429
"1539"	0.1429
"1540"	0.0833
"1541"	0.1250
"1542"	0.0833
"1543"	0.0769
"1550"	0.1250
"1628"	0.0714
"1629"	0.0714
"1630"	0.0714
"1631"	0.0714
"1633"	0.0714
"1634"	0.1429
"1635"	0.1429
"1636"	0.0833
"1637"	0.1429
"1638"	0.1538
"1639"	0.0769
"1640"	0.0909
"1641"	0.1429
"1642"	0.1000
"1644"	0.0769
"1645"	0.1000
"1647"	0.0909
"1648"	0.0769
"1731"	0.0714
"1732"	0.0714
"1733"	0.0714
"1734"	0.0714
"1735"	0.0714
"1736"	0.1429
"1738"	0.1429
"1739"	0.2143
"1741"	0.3846
"1742"	0.1429
"1743"	0.0769
"1744"	0.2727
"1745"	0.2500
"1746"	0.0769
"1747"	0.0909
"1748"	0.0769
"1749"	0.1000
"1750"	0.0833
"1751"	0.1429
"1753"	0.1250
"1835"	0.1333
"1836"	0.0714
"1837"	0.0714
"1838"	0.0714
"1840"	0.3077
"1841"	0.1538
"1842"	0.2143
"1844"	0.1538
"1845"	0.0769
"1846"	0.0833
"1847"	0.3077
"1849"	0.2000
"1850"	0.2000
"1851"	0.1429
"1852"	0.0833
"1853"	0.1000
"1854"	0.0833
"1876"	0.2222
"1939"	0.0714
"1940"	0.0714
"1941"	0.0714
"1942"	0.1429
"1943"	0.0714
"1944"	0.2143
"1945"	0.1429
"1946"	0.0769
"1947"	0.1429
"1948"	0.1429
"1949"	0.2000
"1950"	0.3333
"1951"	0.3333
"1952"	0.0909
"1953"	0.0833
"1954"	0.0769
"1955"	0.0909
"1958"	0.0769
"1977"	0.2222
"1979"	0.1429
"1982"	0.2222
"2043"	0.0667
"2044"	0.0714
"2045"	0.0714
"2046"	0.1429
"2047"	0.2143
