"920"	"9"	1
"923"	"14"	1
"937"	"13"	1
"1028"	"14"	1
"1037"	"14"	1
"1038"	"13"	1
"1122"	"9"	1
"1135"	"11"	1
"1222"	"9"	1
"1223"	"9"	1
"1230"	"13"	1
"1232"	"10"	1
"1233"	"9"	1
"1233"	"15"	1
"1324"	"9"	1
"1325"	"9"	1
"1327"	"9"	1
"1327"	"15"	1
"1330"	"9"	1
"1330"	"15"	1
"1331"	"10"	1
"1332"	"14"	1
"1333"	"14"	1
"1334"	"12"	1
"1335"	"11"	1
"1427"	"5"	1
"1427"	"8"	1
"1428"	"5"	1
"1428"	"9"	1
"1430"	"9"	1
"1432"	"9"	1
"1434"	"10"	1
"1435"	"13"	1
"1436"	"13"	1
"1437"	"13"	1
"1440"	"15"	1
"1441"	"12"	1
"1442"	"14"	1
"1444"	"13"	1
"1526"	"9"	1
"1527"	"9"	1
"1529"	"9"	1
"1531"	"5"	1
"1531"	"6"	1
"1534"	"11"	1
"1535"	"6"	1
"1535"	"9"	1
"1536"	"11"	1
"1537"	"11"	1
"1538"	"9"	1
"1538"	"15"	1
"1539"	"9"	1
"1539"	"15"	1
"1540"	"11"	1
"1541"	"15"	1
"1542"	"11"	1
"1543"	"10"	1
"1550"	"15"	1
"1628"	"9"	1
"1629"	"9"	1
"1630"	"9"	1
"1631"	"9"	1
"1633"	"9"	1
"1634"	"4"	1
"1634"	"5"	1
"1635"	"5"	1
"1635"	"8"	1
"1636"	"7"	1
"1637"	"5"	1
"1637"	"8"	1
"1638"	"6"	1
"1638"	"9"	1
"1639"	"10"	1
"1640"	"13"	1
"1641"	"9"	1
"1641"	"15"	1
"1642"	"13"	1
"1644"	"10"	1
"1645"	"13"	1
"1647"	"12"	1
"1648"	"10"	1
"1731"	"9"	1
"1732"	"9"	1
"1733"	"9"	1
"1734"	"9"	1
"1735"	"9"	1
"1736"	"5"	1
"1736"	"8"	1
"1738"	"4"	1
"1738"	"5"	1
"1739"	"5"	1
"1739"	"8"	1
"1739"	"11"	1
"1741"	"5"	1
"1741"	"6"	1
"1741"	"8"	1
"1741"	"9"	1
"1741"	"11"	1
"1742"	"9"	1
"1742"	"15"	1
"1743"	"10"	1
"1744"	"8"	1
"1744"	"11"	1
"1744"	"14"	1
"1745"	"7"	1
"1745"	"10"	1
"1745"	"13"	1
"1746"	"10"	1
"1747"	"12"	1
"1748"	"10"	1
"1749"	"13"	1
"1750"	"11"	1
"1751"	"9"	1
"1751"	"15"	1
"1753"	"15"	1
"1835"	"5"	1
"1835"	"10"	1
"1836"	"9"	1
"1837"	"9"	1
"1838"	"9"	1
"1840"	"5"	1
"1840"	"6"	1
"1840"	"8"	1
"1840"	"9"	1
"1841"	"6"	1
"1841"	"9"	1
"1842"	"5"	1
"1842"	"8"	1
"1842"	"11"	1
"1844"	"6"	1
"1844"	"9"	1
"1845"	"10"	1
"1846"	"11"	1
"1847"	"6"	1
"1847"	"9"	1
"1847"	"12"	1
"1847"	"15"	1
"1849"	"2"	1
"1849"	"7"	1
"1849"	"13"	1
"1850"	"3"	1
"1850"	"9"	1
"1850"	"15"	1
"1851"	"9"	1
"1851"	"15"	1
"1852"	"11"	1
"1853"	"13"	1
"1854"	"11"	1
"1876"	"10"	1
"1876"	"13"	1
"1939"	"9"	1
"1940"	"9"	1
"1941"	"9"	1
"1942"	"5"	1
"1942"	"8"	1
"1943"	"9"	1
"1944"	"5"	1
"1944"	"8"	1
"1944"	"11"	1
"1945"	"9"	1
"1945"	"15"	1
"1946"	"10"	1
"1947"	"9"	1
"1947"	"15"	1
"1948"	"9"	1
"1948"	"15"	1
"1949"	"3"	1
"1949"	"9"	1
"1949"	"15"	1
"1950"	"2"	1
"1950"	"5"	1
"1950"	"8"	1
"1950"	"10"	1
"1950"	"13"	1
"1951"	"2"	1
"1951"	"5"	1
"1951"	"8"	1
"1951"	"11"	1
"1951"	"14"	1
"1952"	"12"	1
"1953"	"11"	1
"1954"	"10"	1
"1955"	"12"	1
"1958"	"10"	1
"1977"	"10"	1
"1977"	"13"	1
"1979"	"9"	1
"1979"	"15"	1
"1982"	"10"	1
"1982"	"13"	1
"2043"	"3"	1
"2044"	"9"	1
"2045"	"9"	1
"2046"	"9"	1
"2046"	"15"	1
"2047"	"5"	1
"2047"	"8"	1
"2047"	"11"	1
"2048"	"5"	1
"2048"	"8"	1
"2048"	"11"	1
"2049"	"9"	1
"2049"	"15"	1
"2050"	"10"	1
"2051"	"5"	1
"2051"	"8"	1
"2051"	"11"	1
"2051"	"14"	1
"2052"	"2"	1
"2052"	"4"	1
"2052"	"5"	1
"2053"	"2"	1
"2053"	"3"	1
"2053"	"4"	1
"2053"	"6"	1
"2053"	"7"	1
"2053"	"9"	1
"2053"	"10"	1
"2053"	"12"	1
"2053"	"13"	1
"2053"	"15"	1
"2054"	"10"	1
"2055"	"12"	1
"2056"	"10"	1
"2057"	"9"	1
"2057"	"15"	1
"2060"	"10"	1
"2079"	"2"	1
"2079"	"5"	1
"2079"	"8"	1
"2079"	"10"	1
"2079"	"13"	1
"2080"	"2"	1
"2080"	"4"	1
"2080"	"5"	1
"2080"	"7"	1
"2080"	"8"	1
"2080"	"10"	1
"2080"	"11"	1
"2080"	"12"	1
"2080"	"14"	1
"2080"	"15"	1
"2081"	"3"	1
"2081"	"6"	1
"2081"	"8"	1
"2081"	"11"	1
"2081"	"14"	1
"2083"	"9"	1
"2083"	"12"	1
"2083"	"15"	1
"2147"	"9"	1
"2148"	"9"	1
"2149"	"9"	1
"2150"	"6"	1
"2150"	"9"	1
"2153"	"4"	1
"2153"	"5"	1
"2154"	"5"	1
"2154"	"6"	1
"2154"	"8"	1
"2154"	"9"	1
"2154"	"11"	1
"2154"	"12"	1
"2154"	"14"	1
"2154"	"15"	1
"2155"	"10"	1
"2156"	"2"	1
"2156"	"5"	1
"2156"	"8"	1
"2156"	"11"	1
"2156"	"13"	1
"2157"	"2"	1
"2157"	"4"	1
"2157"	"5"	1
"2157"	"6"	1
"2157"	"8"	1
"2157"	"9"	1
"2157"	"11"	1
"2157"	"12"	1
"2157"	"14"	1
"2157"	"15"	1
"2158"	"5"	1
"2158"	"8"	1
"2158"	"11"	1
"2158"	"14"	1
"2159"	"4"	1
"2159"	"7"	1
"2159"	"10"	1
"2159"	"12"	1
"2159"	"15"	1
"2160"	"3"	1
"2160"	"6"	1
"2160"	"8"	1
"2160"	"11"	1
"2160"	"14"	1
"2161"	"9"	1
"2161"	"15"	1
"2162"	"10"	1
"2167"	"11"	1
"2182"	"4"	1
"2182"	"10"	1
"2184"	"10"	1
"2184"	"13"	1
"2185"	"2"	1
"2185"	"5"	1
"2185"	"8"	1
"2185"	"10"	1
"2185"	"13"	1
"2186"	"4"	1
"2186"	"10"	1
"2187"	"8"	1
"2187"	"11"	1
"2187"	"14"	1
"2252"	"9"	1
"2253"	"9"	1
"2254"	"9"	1
"2257"	"5"	1
"2257"	"6"	1
"2257"	"7"	1
"2257"	"8"	1
"2258"	"4"	1
"2258"	"5"	1
"2258"	"7"	1
"2258"	"8"	1
"2258"	"10"	1
"2258"	"11"	1
"2258"	"13"	1
"2258"	"14"	1
"2259"	"6"	1
"2259"	"9"	1
"2259"	"13"	1
"2259"	"15"	1
"2260"	"11"	1
"2261"	"4"	1
"2261"	"7"	1
"2261"	"9"	1
"2261"	"12"	1
"2261"	"15"	1
"2262"	"2"	1
"2262"	"5"	1
"2262"	"8"	1
"2262"	"10"	1
"2262"	"13"	1
"2263"	"2"	1
"2263"	"4"	1
"2263"	"7"	1
"2263"	"10"	1
"2263"	"13"	1
"2264"	"9"	1
"2264"	"15"	1
"2265"	"10"	1
"2266"	"10"	1
"2270"	"10"	1
"2273"	"10"	1
"2273"	"13"	1
"2284"	"3"	1
"2284"	"6"	1
"2284"	"8"	1
"2284"	"11"	1
"2284"	"14"	1
"2285"	"3"	1
"2285"	"6"	1
"2285"	"8"	1
"2285"	"11"	1
"2285"	"14"	1
"2286"	"4"	1
"2286"	"10"	1
"2288"	"8"	1
"2288"	"11"	1
"2288"	"14"	1
"2289"	"12"	1
"2289"	"15"	1
"2290"	"10"	1
"2291"	"7"	1
"2291"	"10"	1
"2291"	"13"	1
"2354"	"5"	1
"2354"	"8"	1
"2356"	"5"	1
"2356"	"8"	1
"2357"	"5"	1
"2357"	"8"	1
"2358"	"9"	1
"2359"	"2"	1
"2360"	"2"	1
"2360"	"4"	1
"2360"	"5"	1
"2361"	"5"	1
"2361"	"6"	1
"2361"	"7"	1
"2361"	"8"	1
"2362"	"4"	1
"2362"	"5"	1
"2362"	"6"	1
"2362"	"7"	1
"2362"	"9"	1
"2363"	"7"	1
"2363"	"10"	1
"2363"	"13"	1
"2364"	"3"	1
"2364"	"6"	1
"2364"	"8"	1
"2364"	"11"	1
"2364"	"14"	1
"2365"	"2"	1
"2365"	"4"	1
"2365"	"7"	1
"2365"	"10"	1
"2365"	"13"	1
"2366"	"2"	1
"2366"	"5"	1
"2366"	"8"	1
"2366"	"10"	1
"2366"	"13"	1
"2368"	"2"	1
"2368"	"5"	1
"2368"	"8"	1
"2368"	"11"	1
"2368"	"14"	1
"2369"	"9"	1
"2369"	"15"	1
"2370"	"6"	1
"2370"	"9"	1
"2370"	"12"	1
"2370"	"15"	1
"2371"	"6"	1
"2371"	"9"	1
"2371"	"12"	1
"2371"	"15"	1
"2372"	"6"	1
"2372"	"9"	1
"2372"	"12"	1
"2372"	"15"	1
"2373"	"10"	1
"2388"	"9"	1
"2388"	"15"	1
"2389"	"12"	1
"2390"	"12"	1
"2391"	"7"	1
"2391"	"10"	1
"2391"	"13"	1
"2392"	"2"	1
"2392"	"3"	1
"2392"	"5"	1
"2392"	"6"	1
"2392"	"7"	1
"2392"	"9"	1
"2392"	"10"	1
"2392"	"12"	1
"2392"	"13"	1
"2392"	"15"	1
"2393"	"5"	1
"2393"	"8"	1
"2393"	"11"	1
"2393"	"14"	1
"2394"	"12"	1
"2458"	"9"	1
"2460"	"9"	1
"2461"	"5"	1
"2461"	"8"	1
"2462"	"5"	1
"2463"	"4"	1
"2463"	"5"	1
"2464"	"4"	1
"2464"	"5"	1
"2464"	"6"	1
"2464"	"7"	1
"2464"	"9"	1
"2465"	"5"	1
"2465"	"6"	1
"2465"	"7"	1
"2465"	"8"	1
"2466"	"5"	1
"2466"	"6"	1
"2466"	"7"	1
"2466"	"8"	1
"2467"	"4"	1
"2467"	"5"	1
"2467"	"7"	1
"2467"	"8"	1
"2467"	"10"	1
"2467"	"11"	1
"2467"	"13"	1
"2467"	"14"	1
"2468"	"3"	1
"2468"	"6"	1
"2468"	"8"	1
"2468"	"11"	1
"2468"	"14"	1
"2469"	"2"	1
"2470"	"2"	1
"2470"	"3"	1
"2470"	"4"	1
"2470"	"6"	1
"2470"	"7"	1
"2470"	"9"	1
"2470"	"10"	1
"2471"	"2"	1
"2471"	"3"	1
"2471"	"4"	1
"2471"	"6"	1
"2471"	"7"	1
"2471"	"9"	1
"2471"	"10"	1
"2471"	"12"	1
"2471"	"13"	1
"2471"	"15"	1
"2472"	"11"	1
"2473"	"10"	1
"2474"	"4"	1
"2474"	"10"	1
"2475"	"10"	1
"2476"	"9"	1
"2476"	"12"	1
"2476"	"15"	1
"2479"	"13"	1
"2479"	"14"	1
"2480"	"12"	1
"2480"	"15"	1
"2482"	"14"	1
"2484"	"9"	1
"2484"	"10"	1
"2484"	"12"	1
"2484"	"13"	1
"2484"	"15"	1
"2493"	"2"	1
"2493"	"5"	1
"2493"	"8"	1
"2493"	"11"	1
"2493"	"14"	1
"2497"	"6"	1
"2497"	"9"	1
"2497"	"12"	1
"2497"	"15"	1
"2498"	"5"	1
"2498"	"8"	1
"2498"	"11"	1
"2498"	"14"	1
"2499"	"6"	1
"2499"	"9"	1
"2499"	"12"	1
"2499"	"15"	1
"2565"	"5"	1
"2565"	"8"	1
"2566"	"5"	1
"2566"	"8"	1
"2567"	"4"	1
"2567"	"5"	1
"2568"	"4"	1
"2568"	"5"	1
"2568"	"6"	1
"2568"	"7"	1
"2568"	"9"	1
"2569"	"4"	1
"2569"	"5"	1
"2569"	"6"	1
"2569"	"7"	1
"2569"	"9"	1
"2570"	"4"	1
"2570"	"5"	1
"2570"	"6"	1
"2570"	"7"	1
"2570"	"9"	1
"2571"	"5"	1
"2571"	"6"	1
"2571"	"7"	1
"2571"	"8"	1
"2572"	"4"	1
"2572"	"5"	1
"2572"	"7"	1
"2572"	"8"	1
"2572"	"10"	1
"2572"	"11"	1
"2572"	"13"	1
"2572"	"14"	1
"2573"	"11"	1
"2574"	"3"	1
"2574"	"5"	1
"2574"	"8"	1
"2574"	"11"	1
"2574"	"14"	1
"2575"	"10"	1
"2576"	"9"	1
"2576"	"15"	1
"2577"	"10"	1
"2578"	"2"	1
"2578"	"7"	1
"2578"	"13"	1
"2579"	"12"	1
"2580"	"7"	1
"2580"	"10"	1
"2580"	"13"	1
"2581"	"10"	1
"2581"	"13"	1
"2582"	"12"	1
"2582"	"15"	1
"2583"	"10"	1
"2585"	"10"	1
"2585"	"13"	1
"2586"	"5"	1
"2586"	"8"	1
"2586"	"11"	1
"2586"	"14"	1
"2588"	"12"	1
"2588"	"15"	1
"2590"	"10"	1
"2590"	"13"	1
"2594"	"5"	1
"2594"	"8"	1
"2594"	"11"	1
"2594"	"14"	1
"2600"	"2"	1
"2600"	"3"	1
"2600"	"5"	1
"2600"	"6"	1
"2600"	"8"	1
"2600"	"9"	1
"2600"	"11"	1
"2600"	"12"	1
"2600"	"14"	1
"2600"	"15"	1
"2602"	"5"	1
"2602"	"8"	1
"2602"	"11"	1
"2602"	"14"	1
"2607"	"10"	1
"2607"	"13"	1
"2668"	"9"	1
"2669"	"9"	1
"2670"	"4"	1
"2670"	"5"	1
"2672"	"4"	1
"2672"	"5"	1
"2673"	"4"	1
"2673"	"5"	1
"2674"	"5"	1
"2674"	"6"	1
"2674"	"7"	1
"2674"	"8"	1
"2675"	"5"	1
"2675"	"6"	1
"2675"	"7"	1
"2675"	"8"	1
"2676"	"2"	1
"2676"	"4"	1
"2676"	"5"	1
"2676"	"7"	1
"2676"	"8"	1
"2677"	"6"	1
"2677"	"9"	1
"2677"	"12"	1
"2677"	"15"	1
"2678"	"9"	1
"2678"	"15"	1
"2679"	"10"	1
"2680"	"9"	1
"2680"	"15"	1
"2681"	"9"	1
"2681"	"15"	1
"2682"	"12"	1
"2684"	"6"	1
"2684"	"9"	1
"2684"	"12"	1
"2684"	"15"	1
"2685"	"5"	1
"2685"	"8"	1
"2685"	"11"	1
"2685"	"14"	1
"2687"	"11"	1
"2688"	"5"	1
"2688"	"8"	1
"2688"	"11"	1
"2688"	"14"	1
"2692"	"8"	1
"2692"	"11"	1
"2692"	"14"	1
"2695"	"7"	1
"2695"	"10"	1
"2695"	"13"	1
"2696"	"8"	1
"2696"	"11"	1
"2696"	"14"	1
"2703"	"5"	1
"2703"	"8"	1
"2703"	"11"	1
"2703"	"14"	1
"2704"	"2"	1
"2704"	"3"	1
"2704"	"5"	1
"2704"	"6"	1
"2704"	"8"	1
"2704"	"9"	1
"2704"	"11"	1
"2704"	"12"	1
"2704"	"14"	1
"2704"	"15"	1
"2772"	"9"	1
"2773"	"5"	1
"2773"	"8"	1
"2774"	"9"	1
"2775"	"5"	1
"2777"	"5"	1
"2778"	"5"	1
"2778"	"6"	1
"2778"	"7"	1
"2778"	"8"	1
"2779"	"5"	1
"2779"	"6"	1
"2779"	"7"	1
"2779"	"8"	1
"2781"	"2"	1
"2781"	"5"	1
"2781"	"8"	1
"2781"	"10"	1
"2781"	"13"	1
"2782"	"6"	1
"2782"	"9"	1
"2782"	"12"	1
"2782"	"15"	1
"2783"	"10"	1
"2784"	"9"	1
